n,p,cens_rate,hetero,model_type,method,alpha,coverage,coverage_uncensored,coverage_censored,q_value,c0_chosen,p_c0_marginal,num_uncensored,num_censored
100,1,0.1,False,km,Traditional CSA,0.1,0.9,0.8888888888888888,1.0,8.232073259926278,39.3947604680098,0.6833333333333333,18,2
100,1,0.1,False,cox,Traditional CSA,0.1,1.0,1.0,1.0,inf,128.66350879526212,0.31666666666666665,18,2
100,1,0.1,False,weibull,Traditional CSA,0.1,1.0,1.0,1.0,4.0987376152445965,22.28330535285728,0.7666666666666667,18,2
100,1,0.1,False,rsf,Traditional CSA,0.1,1.0,1.0,1.0,inf,128.66350879526212,0.31666666666666665,18,2
100,1,0.1,True,km,Traditional CSA,0.1,1.0,1.0,1.0,8.292360194239146,27.960135848577096,0.5666666666666667,18,2
100,1,0.1,True,cox,Traditional CSA,0.1,1.0,1.0,1.0,inf,74.94116468170058,0.3,18,2
100,1,0.1,True,weibull,Traditional CSA,0.1,1.0,1.0,1.0,2.8036010313751323,47.680199532597904,0.43333333333333335,18,2
100,1,0.1,True,rsf,Traditional CSA,0.1,1.0,1.0,1.0,2.477686809880716,27.960135848577096,0.5666666666666667,18,2
100,50,0.1,False,km,Traditional CSA,0.1,1.0,1.0,1.0,inf,69.34051921326834,0.4,17,3
100,50,0.1,False,cox,Traditional CSA,0.1,0.95,0.9411764705882353,1.0,3.3988412573050626,17.770568949498017,0.8333333333333334,17,3
100,50,0.1,False,weibull,Traditional CSA,0.1,1.0,1.0,1.0,15.608234585573499,17.770568949498017,0.8333333333333334,17,3
100,50,0.1,False,rsf,Traditional CSA,0.1,1.0,1.0,1.0,inf,84.89381772074401,0.31666666666666665,17,3
100,50,0.1,True,km,Traditional CSA,0.1,0.8,0.7647058823529411,1.0,6.326650820802627,16.73306748182147,0.8166666666666667,17,3
100,50,0.1,True,cox,Traditional CSA,0.1,1.0,1.0,1.0,inf,104.70630724276745,0.3,17,3
100,50,0.1,True,weibull,Traditional CSA,0.1,1.0,1.0,1.0,inf,104.70630724276745,0.3,17,3
100,50,0.1,True,rsf,Traditional CSA,0.1,0.95,0.9411764705882353,1.0,6.237833619513725,55.476080728300815,0.5166666666666667,17,3
100,1,0.3,False,km,Traditional CSA,0.1,0.95,0.9375,1.0,8.666834128728784,22.112363669766875,0.55,16,4
100,1,0.3,False,cox,Traditional CSA,0.1,1.0,1.0,1.0,3.4794328389991884,39.30142168965527,0.31666666666666665,16,4
100,1,0.3,False,weibull,Traditional CSA,0.1,1.0,1.0,1.0,3.246757758482849,39.30142168965527,0.31666666666666665,16,4
100,1,0.3,False,rsf,Traditional CSA,0.1,1.0,1.0,1.0,3.5868821737244287,39.30142168965527,0.31666666666666665,16,4
100,1,0.3,True,km,Traditional CSA,0.1,0.95,0.9333333333333333,1.0,4.506638019706176,7.061341670693043,0.8333333333333334,15,5
100,1,0.3,True,cox,Traditional CSA,0.1,1.0,1.0,1.0,inf,35.48224876711493,0.31666666666666665,15,5
100,1,0.3,True,weibull,Traditional CSA,0.1,1.0,1.0,1.0,inf,35.48224876711493,0.31666666666666665,15,5
100,1,0.3,True,rsf,Traditional CSA,0.1,1.0,1.0,1.0,inf,35.48224876711493,0.31666666666666665,15,5
100,50,0.3,False,km,Traditional CSA,0.1,1.0,1.0,1.0,4.751716612226209,7.011736879662359,0.8333333333333334,15,5
100,50,0.3,False,cox,Traditional CSA,0.1,0.8,0.8,0.8,2.5858213885293764,35.097763654043284,0.31666666666666665,15,5
