n,p,cens_rate,hetero,model_type,method,alpha,coverage,coverage_two_sided,coverage_one_sided,mean_width_two_sided,std_width_two_sided,q_value,num_two_sided,num_one_sided
100,1,0.1,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,4.1325747231125,0,20
100,1,0.1,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.95,0.0,1.0,0.06394632116957018,0.0,4.126749634120655,1,19
100,1,0.1,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.95,0.0,1.0,0.06394632116957018,0.0,4.244652997479628,1,19
100,1,0.1,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,3.5189288054492014,0,20
100,1,0.1,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,0.95,,0.95,,,2.320612931950688,0,20
100,1,0.1,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9,0.0,1.0,0.14805624574122853,0.0,2.498764133487929,2,18
100,1,0.1,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9,0.0,1.0,0.20244621757946066,0.0,2.6425718084745493,2,18
100,1,0.1,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.95,,0.95,,,3.2028732598777125,0,20
100,50,0.1,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,3.056737137838873,0,20
100,50,0.1,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.8,,0.8,,,3.134114240844844,0,20
100,50,0.1,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9,,0.9,,,28.72066987050174,0,20
100,50,0.1,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,1.7334663886320114,0,20
100,50,0.1,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,5.9542429907946435,0,20
100,50,0.1,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.8,0.0,0.8888888888888888,1e-08,0.0,3.3843638454302685,2,18
100,50,0.1,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.85,0.0,0.9444444444444444,1e-08,0.0,5.586215128608525,2,18
100,50,0.1,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,4.211380166267613,0,20
100,1,0.3,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,0.95,,0.95,,,2.194433398170205,0,20
100,1,0.3,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.95,,0.95,,,2.6121464631336386,0,20
100,1,0.3,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,3.1397637262489804,0,20
100,1,0.3,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,6.081580732801688,0,20
100,1,0.3,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,2.36623665091537,0,20
100,1,0.3,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,2.406459197596353,0,20
100,1,0.3,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,2.6770976581475048,0,20
100,1,0.3,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,2.941367466984879,0,20
100,50,0.3,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,2.984369564906025,0,20
100,50,0.3,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,5.149744287823001,0,20
100,50,0.3,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.95,,0.95,,,71.89073320802913,0,20
100,50,0.3,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,1.4640872265344496,0,20
100,50,0.3,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,2.369267499626199,0,20
100,50,0.3,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9,,0.9,,,inf,0,20
100,50,0.3,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,71.94128007457896,0,20
100,50,0.3,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,3.520732410314225,0,20
100,1,0.5,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9,,0.9,,,1.7586114454374,0,20
100,1,0.5,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.75,0.0,0.8823529411764706,-0.7786996295721117,0.05648053171568011,1.804641111168043,3,17
100,1,0.5,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.7,0.0,0.8235294117647058,-0.9765227818231015,0.08149115797852795,2.0987752944455194,3,17
100,1,0.5,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.85,,0.85,,,2.928027899741546,0,20
100,1,0.5,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,2.347769924798266,0,20
100,1,0.5,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.85,0.0,1.0,-0.4522965228764017,0.09360009677187217,2.317817112810503,3,17
100,1,0.5,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.8,0.0,0.9411764705882353,-0.6340013491136932,0.1921884134987738,2.2705228363520398,3,17
100,1,0.5,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.95,,0.95,,,3.7008088569486834,0,20
100,50,0.5,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,3.9212619001211344,0,20
100,50,0.5,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.5,,0.5,,,inf,0,20
100,50,0.5,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.75,,0.75,,,41.24918776326375,0,20
100,50,0.5,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,6.423535155001485,0,20
100,50,0.5,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9,,0.9,,,1.4036239806437523,0,20
100,50,0.5,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.75,,0.75,,,inf,0,20
100,50,0.5,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,209.27608353768886,0,20
100,50,0.5,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,6.47599577703849,0,20
500,1,0.1,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,2.7830156622569264,0,100
500,1,0.1,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.93,0.0,1.0,0.009342417725186786,0.07954101510050007,2.471478270227359,7,93
500,1,0.1,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.93,0.0,1.0,0.026937039124219096,0.05922914512440655,2.497400203508777,7,93
500,1,0.1,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.99,,0.99,,,3.142822807708308,0,100
