n,p,cens_rate,hetero,model_type,method,alpha,coverage,coverage_uncensored,coverage_censored,q_value,num_uncensored,num_censored
100,1,0.1,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,10.190531457675835,18,2
100,1,0.1,False,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,10.363823274678955,18,2
100,1,0.1,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,10.463726991631097,18,2
100,1,0.1,False,rsf,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,10.363823274678955,18,2
100,1,0.1,True,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,5.604444211199473,17,3
100,1,0.1,True,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,5.8021215542390925,17,3
100,1,0.1,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,5.960837356059985,17,3
100,1,0.1,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,6.785864172042817,17,3
100,50,0.1,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,6.745593749026745,18,2
100,50,0.1,False,cox,Weighted CSA (论文标准方法-已修复),0.1,0.95,0.9444444444444444,1.0,11.03068114883467,18,2
100,50,0.1,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.75,0.7777777777777778,0.5,14.918986689718247,18,2
100,50,0.1,False,rsf,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,3.037356299962207,18,2
100,50,0.1,True,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,2.6329834021686773,17,3
100,50,0.1,True,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,6.6669126250953274,17,3
100,50,0.1,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.9,0.9411764705882353,0.6666666666666666,3.450910061243012,17,3
100,50,0.1,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.9,0.8823529411764706,1.0,0.9292401346985955,17,3
100,1,0.3,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,10.794067178305092,13,7
100,1,0.3,False,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,9.733210744449543,13,7
100,1,0.3,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,11.220734091243825,13,7
100,1,0.3,False,rsf,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,30.407903664008444,13,7
100,1,0.3,True,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,11.057180611754065,14,6
100,1,0.3,True,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,11.080972021110654,14,6
100,1,0.3,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,12.509802140876191,14,6
100,1,0.3,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,13.744707789648967,14,6
100,50,0.3,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,4.556057571056292,14,6
100,50,0.3,False,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,16.050799709925908,14,6
100,50,0.3,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.85,0.8571428571428571,0.8333333333333334,17.470698527842107,14,6
100,50,0.3,False,rsf,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,4.224487287079767,14,6
100,50,0.3,True,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,9.894774300953053,13,7
100,50,0.3,True,cox,Weighted CSA (论文标准方法-已修复),0.1,0.9,1.0,0.7142857142857143,13.041281781060883,13,7
100,50,0.3,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,33.85711784429222,13,7
100,50,0.3,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,17.603662051571124,13,7
100,1,0.5,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,8.726940019835563,10,10
100,1,0.5,False,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,8.640350469615734,10,10
100,1,0.5,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,10.493876472227598,10,10
100,1,0.5,False,rsf,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,8.496791691182349,10,10
100,1,0.5,True,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,11.73884962399133,13,7
100,1,0.5,True,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,11.589085564052514,13,7
100,1,0.5,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,11.352614181760199,13,7
100,1,0.5,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,11.73884962399133,13,7
100,50,0.5,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,6.587622791046139,11,9
100,50,0.5,False,cox,Weighted CSA (论文标准方法-已修复),0.1,0.5,0.7272727272727273,0.2222222222222222,inf,11,9
100,50,0.5,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.8,0.8181818181818182,0.7777777777777778,106.31626981966309,11,9
