n,cens_rate,p,hetero,real_censor,C_Cox,C_Weibull,C_RSF
100,0.1,1,False,0.1,0.45430238210986873,0.5456976178901313,0.7416140009722897
100,0.1,1,True,0.15,0.4900024685262898,0.5099975314737102,0.7647494445815848
100,0.1,50,False,0.1,0.10721247563352826,0.8802252544942604,0.9482347844920944
100,0.1,50,True,0.14,0.12440191387559808,0.8434723171565277,0.9564821143768513
100,0.3,1,False,0.36,0.43267437523312197,0.567325624766878,0.752331219694144
100,0.3,1,True,0.3,0.4231301939058172,0.5768698060941828,0.7278393351800554
100,0.3,50,False,0.28,0.10048102618920364,0.884286477819348,0.9561731694281133
100,0.3,50,True,0.35,0.07850568489442339,0.907958852192745,0.9556036816459123
100,0.5,1,False,0.48,0.5335968379446641,0.5335968379446641,0.8095355731225297
100,0.5,1,True,0.34,0.5179177668804225,0.48208223311957754,0.7319879290833647
100,0.5,50,False,0.45,0.05120481927710843,0.9322289156626506,0.9524096385542169
100,0.5,50,True,0.51,0.05722599418040737,0.8884578079534433,0.9660523763336566
500,0.1,1,False,0.084,0.4423398629323836,0.5576601370676164,0.7343595416689152
500,0.1,1,True,0.118,0.4712841532653042,0.5287158467346958,0.7289231676351152
500,0.1,50,False,0.098,0.19809780248414835,0.798384434986537,0.9440892903674107
500,0.1,50,True,0.098,0.20362333164313276,0.7962133777942023,0.9436475674003283
500,0.3,1,False,0.334,0.4332716176369746,0.5667283823630255,0.7528697798806829
500,0.3,1,True,0.336,0.4830627939760213,0.5169372060239786,0.750819992463048
500,0.3,50,False,0.292,0.1741049327448729,0.8286758587273666,0.956644932955539
500,0.3,50,True,0.3,0.1804742463270854,0.8221728993371955,0.9541941986784634
500,0.5,1,False,0.526,0.4220461756430467,0.5779538243569533,0.8009797856843534
500,0.5,1,True,0.538,0.5201845981726646,0.47981540182733545,0.7877470632108894
500,0.5,50,False,0.51,0.15417918810166556,0.8455788723068304,0.9691081342637397
500,0.5,50,True,0.522,0.1433601166899292,0.8449708903894275,0.9670426396066745
2000,0.1,1,False,0.095,0.44794964201185455,0.5520503579881454,0.734549564868091
2000,0.1,1,True,0.1015,0.48414127015506697,0.515858729844933,0.732263194220451
2000,0.1,50,False,0.099,0.20317695472349165,0.7963524137262239,0.944772291581174
2000,0.1,50,True,0.1095,0.22076875598175297,0.7843301916682471,0.9411757289653335
2000,0.3,1,False,0.296,0.4484982721101795,0.5515017278898205,0.7576286098009838
2000,0.3,1,True,0.2975,0.4879515064844295,0.5120484935155705,0.7404537248630725
2000,0.3,50,False,0.295,0.18431149918400197,0.8176978712922801,0.9546617263330932
2000,0.3,50,True,0.3005,0.20361561456019836,0.8005492429951316,0.9542558315381177
2000,0.5,1,False,0.48,0.4510625469205351,0.548937453079465,0.7893981757887083
2000,0.5,1,True,0.495,0.5006796983591687,0.49932030164083135,0.7834928214425403
2000,0.5,50,False,0.5065,0.1795346063991214,0.8210648847644764,0.9683431298962507
2000,0.5,50,True,0.492,0.18107651912978245,0.8183116475840272,0.965171620774046
